94752	48	61	204381	NULL	NULL	NULL	100.00
94753	48	60	246880	NULL	NULL	NULL	0.00
94754	49	61	211568	NULL	NULL	NULL	100.00
94755	49	60	246881	NULL	NULL	NULL	0.00
94756	50	61	204382	NULL	NULL	NULL	100.00
94757	50	60	246882	NULL	NULL	NULL	0.00
94758	51	61	204383	NULL	NULL	NULL	100.00
94759	51	60	246883	NULL	NULL	NULL	0.00
94760	52	61	204384	NULL	NULL	NULL	100.00
94761	52	60	246884	NULL	NULL	NULL	0.00
94762	53	61	210773	NULL	NULL	NULL	100.00
94763	53	60	246885	NULL	NULL	NULL	0.00
94764	54	61	210744	NULL	NULL	NULL	100.00
94765	54	60	246886	NULL	NULL	NULL	0.00
94766	55	61	204385	NULL	NULL	NULL	100.00
94767	55	60	246887	NULL	NULL	NULL	0.00
94768	56	61	212085	NULL	NULL	NULL	100.00
94769	56	60	246888	NULL	NULL	NULL	0.00
94770	57	61	204386	NULL	NULL	NULL	100.00
94771	57	60	246889	NULL	NULL	NULL	0.00
94772	58	61	210758	NULL	NULL	NULL	100.00
94773	58	60	246890	NULL	NULL	NULL	0.00
94774	59	61	210792	NULL	NULL	NULL	100.00
94775	59	60	246891	NULL	NULL	NULL	0.00
94776	60	61	204387	NULL	NULL	NULL	100.00
94777	60	60	246892	NULL	NULL	NULL	0.00
94778	61	61	210736	NULL	NULL	NULL	100.00
94779	61	60	246893	NULL	NULL	NULL	0.00
94780	62	61	204388	NULL	NULL	NULL	100.00
94781	62	60	246894	NULL	NULL	NULL	0.00
94782	63	61	211317	NULL	NULL	NULL	100.00
94783	63	60	246895	NULL	NULL	NULL	0.00
94784	64	61	210889	NULL	NULL	NULL	100.00
94785	64	60	246896	NULL	NULL	NULL	0.00
94786	65	61	211140	NULL	NULL	NULL	100.00
94787	65	60	246897	NULL	NULL	NULL	0.00
94788	66	60	151179	NULL	NULL	NULL	0.00
94789	66	61	204389	NULL	NULL	NULL	100.00
94790	67	61	210721	NULL	NULL	NULL	100.00
94791	67	60	246898	NULL	NULL	NULL	0.00
94792	68	61	210738	NULL	NULL	NULL	100.00
94793	68	60	246899	NULL	NULL	NULL	0.00
94794	69	61	210732	NULL	NULL	NULL	100.00
94795	69	60	246900	NULL	NULL	NULL	0.00
94796	70	61	210771	NULL	NULL	NULL	100.00
94797	70	60	246901	NULL	NULL	NULL	0.00
94798	71	61	112020	NULL	NULL	NULL	100.00
94799	71	60	112020	NULL	NULL	NULL	0.00
94800	72	61	210753	NULL	NULL	NULL	100.00
94801	72	60	246902	NULL	NULL	NULL	0.00
94802	73	61	100329	NULL	NULL	NULL	100.00
94803	73	60	100329	NULL	NULL	NULL	0.00
94804	74	61	211257	NULL	NULL	NULL	100.00
94805	74	60	246903	NULL	NULL	NULL	0.00
94806	75	61	212093	NULL	NULL	NULL	100.00
94807	75	60	246904	NULL	NULL	NULL	0.00
94808	76	60	153584	NULL	NULL	NULL	0.00
94809	76	61	204392	NULL	NULL	NULL	100.00
94810	77	61	211018	NULL	NULL	NULL	100.00
94811	77	60	246905	NULL	NULL	NULL	0.00
94812	78	61	210769	NULL	NULL	NULL	100.00
94813	78	60	246906	NULL	NULL	NULL	0.00
94814	79	61	147455	NULL	NULL	NULL	100.00
94815	79	60	147455	NULL	NULL	NULL	0.00
94816	80	61	147455	NULL	NULL	NULL	100.00
94817	80	60	147455	NULL	NULL	NULL	0.00
94818	81	61	147455	NULL	NULL	NULL	100.00
94819	81	60	147455	NULL	NULL	NULL	0.00
